What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
It means being able to pass all of my classes and graduate with a degree.,"Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,3,6,4,5,7,8,2,1,Yes,Myself,,,Both,,Yes,"The college I go to actively promotes a lot of different services meant to benefit students, ranging from food to borrowing textbooks. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"If I did not do well academically, it would affect a little more because I would have to spend more time and money retaking classes just to get back on track. It would hinder my progress by a decent amount.","Happy,Relieved,Proud","Annoyed,Stressed,Nervous","Tests,Balancing stress,Attaining top grades",Fourth year of equivalent,Public institution,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",Sometimes I get worried about failing in classes and I should learn to just step back a little and properly reassess the situation.,5,5
Graduating,"Getting good grades,Career preparation,Extracurriculars/Clubs,Pursuing knowledge/answers",,3,4,7,5,6,8,1,2,Yes,Myself,,,Stressed,,Yes,"I'm most of the way through, and am just finishing up on academics now.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,I wouldn't have as good of a resume as I'd like.,No difference in feeling,"Confused,Annoyed",Extracurriculars/Clubs,Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,2,2
feeling confident applying material,"Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,1,2,7,6,5,8,4,3,Yes,Myself,,,Motivated,,Yes,BEcause my teachers support and make time for me,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,Making graduate school more difficult for me.,"Relieved,Gratified,Proud","Confused,Angry,Stressed,Anxious,Stuck","Balancing stress,Attaining top grades,Awards/Recognition",Fourth year of equivalent,Public institution,No,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,6,7
achieving a decent gpa and completing all of your work with good grades. ,"Career preparation,Balancing stress,Pursuing knowledge/answers",,4,3,5,6,7,8,1,2,No,,,Because it is not necessary for my future career and i am not prioritizing school right now,Other,nothing i do not feel pressured,Yes,because i am a mom before i am interested in a career right now,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",About the same,"if i graduated school i dont believe it would affect me at all
","Happy,Relieved,Gratified,Proud","Annoyed,Angry,Anxious,Nervous,Stuck","Time management,Balancing stress",Third year or equivalent,Online institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,3,3
"Good and consistent grades, good attendance","Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,3,4,5,1,2,8,7,6,Yes,School Environment,,,Stressed,,Like somewhat,"I have a difficult time academically, and I feel that there is too much pressure that comes from within the school system that academic grades are the only thing that matter in terms of a person's success. I am a successful person in many other regards, but my lack of academic success has always made me feel less worthy than my more academically inclined counterparts. ",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"Only in terms of getting a good job - I feel that to get a spot in a program that I would like to continue in, I will need to have good grades to show for it, even though I am a person of honesty and integrity who simply finds school difficult. ","Happy,Relieved,Dignified,Proud","Annoyed,Stressed,Stuck","Tests,Major assignments,Impressing your parents/guardians,Attaining top grades,Internship/Career-oriented work",Fourth year of equivalent,Private institution,Yes,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school","This is an intriguing study! For as long as I have been alive and able to articulate these feelings, I have been complaining about how the only success that people want to see is academic, and how that's such a poor indicator of how smart a person is. There is so much more to a person than their grades, and yet, that is primarily what we are judged by for the first ~25 years of life! Imagine how much more we could accomplish if academic stress was lessened. ",5,4
"To me, academic success means obtaining deep insight about academic topics and being able to demonstrate that knowledge on tests and in school/work/ learning environments","Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,8,4,7,3,6,5,1,2,Yes,Career Goals,,,Both,,No,,Some of the resources are too costly at the moment,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,It would prevent me from having the career and lifestyle that I desire.,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Stressed,Anxious","Attaining top grades,Awards/Recognition",Fourth year of equivalent,Private institution,No,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",N/A,5,6
"Academic success to me is passing my classes while understanding the material given.  For me it doesn't mean making all ""A""s, but to be able to apply the material in the real world. At one point in my life it was about scoring high, but now, as an adult, I prefer being able to put skills to use rather than to simply score well. ","Career preparation,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,3,4,6,7,5,8,1,2,Probably yes,Myself,,,Both,,Yes,I definitely have what I need to succeed. The only limiting factor would be time. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,"I think I would be discouraged from continuing college, but there's no chance that I won't succeed academically. ","Happy,Relieved,Gratified,Dignified,Proud,Anxious","Stressed,Anxious,Nervous,Stuck","Tests,Projects,Major assignments,Time management,Balancing stress,Awards/Recognition,Independent Studies/Passion Projects",Third year or equivalent,Public institution,Yes,No,I cannot remember,"NO, my career ambitions have changed A LOT from when I was in high school",,4,3
Achieving knowledge in a career in which you are passionate about. Completing all required work from classes. ,"Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,6,3,7,4,5,8,1,2,Yes,Myself,,,Motivated,,Yes,I feel that I can only rely on myself to achieve academic success. I am my biggest motivator for reaching my dreams. No one else can push me or do the work for me. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,I wouldn't be able to get into the career I wanted. I would feel like a failure if I didn't do well in school. It would also affect my ability to earn income. ,"Happy,Proud","Stressed,Anxious,Nervous,Stuck","Tests,Major assignments,Time management,Service",First year or equivalent,Online institution,No,Yes,I cannot remember,"NO, my career ambitions have changed A LOT from when I was in high school",It's important to choose a career that makes you fulfilled and happy. ,7,7
Acievement of academic goals,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,5,2,6,3,7,8,1,4,Yes,School Environment,,,Both,,Yes,"I have the necessary academic materials to study, financial and institutional support.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"I will not be able to meet my career goals and oblectives,  I will not gain more experiences.","Happy,Relieved,Gratified,Dignified,Proud","Stressed,Anxious,Stuck","Projects,Major assignments,Time management,Balancing stress,Impressing your parents/guardians,Attaining top grades,Awards/Recognition,Service,Independent Studies/Passion Projects,Extracurriculars/Clubs,Internship/Career-oriented work",Second year or equivalent,Private institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,4,4
Academic success means achieving my goals in regards to my education.,"Getting good grades,Time management,Extracurriculars/Clubs,Internships/co-ops",,4,2,3,8,5,6,1,7,Yes,Myself,,,Both,,Like somewhat,I do not have a lot of support or understanding from my family.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would not have the opportunities available to me that I would like for my future.,"Happy,Relieved,Gratified,Proud,Anxious","Stressed,Anxious,Nervous,Stuck","Major assignments,Impressing your parents/guardians,Extracurriculars/Clubs,Internship/Career-oriented work",Second year or equivalent,Private institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,6,4
To succeed academically ,Getting good grades,,3,5,6,7,4,8,2,1,Yes,Family,,,Both,,Yes,Basically  positive  but stress,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,Employment ,"Happy,Relieved,Gratified,Proud","Annoyed,Angry,Stressed,Anxious,Nervous",Attaining top grades,First year or equivalent,Online institution,Yes,No,None of these choices are applicable to me,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",Thanks ,4,4
